ticket,issue_id,module,summary,role,source,comment,source_file,month,year,phase,top_level_category,sub_category,journeys
PFT-9607,209743,Attendance,How are you feeling included in the morning and afternoon register to track emotional wellbeing,Pastoral Lead,Sheet1 - Row 67,"Good morning,

 My name is Lara and I am the pastoral lead at Beechfield School.

 I have talked with Richard in the morning regarding how it could be beneficial to incorporate something like checking in how pupils feel when taking the register. At school we use zones of regulation - each zone blue, green, yellow, red represent a series of feelings. What I was thinking is: when teachers take the register they could also add the zone onto the register.

 Pupils, would be explained in advance and would only say the colour to the teacher.

 This could be beneficial for us to monitor how pupils feel not only on the day but during the week, month (identify potential patterns, check ins from the pastoral team...). It has to be something that teachers can do very quickly.

 It is just an idea, happy to discuss further.

 Thank you so much.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Uncategorised,Taking Period-by-Period Registers|Requesting Immediate Support (On-Call / Emergency Alert)
PFT-9606,209742,Cover,adhoc interventions,Philip Evans,Sheet1 - Row 68,if a ad hoc intervention is created - it creates a planned absence - there should be a way for this either be marked as present not as an absence - ie when this is something happening in school - or there needs to be another way to create one off or non reoccurring; or off curriculum events,01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9604,209731,Behaviour,Students on Report to staff,Ashleigh Beal,Sheet1 - Row 70,"Have a student on-report function as a behaviour‑monitoring tool that allows staff to place a pupil on a structured report card so we can track, review, and intervene in a specific behavioural concern over a defined period as a centralised method for teachers to record how a pupil meets behavioural targets each lesson. Teachers or pastoral staff set up an individualised report card for a pupil, including:

 Date range (active period of the report)

 Level / urgency

 Targets the pupil must meet

 Required teacher action (rating 1–5 or checkbox)

 Description / reason for being placed on report

 Sharing option with parents/carers",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Report cards and pastoral,Logging Behaviour and Rewards|Parent and guardian messages and notes|Taking Period-by-Period Registers|Logging Behaviour and Setting Detentions|Requesting Immediate Support (On-Call / Emergency Alert)|Class and subject communication (students & guardians)
PFT-9603,209722,Attendance,Take registers only' as a permission option,Administration Manager,Sheet1 - Row 71,"We regularly have peripatetic teachers from outside companies for subjects such as sport, art, music etc. Paper registers are fraught with pitfalls and risks and is the reason all schools have moved away from them (apart from convenience). As these teachers are not employed by the school or trust, they should not be able to access any data in Arbor but they do need to be able to take a register.

 Ideally, their account on Arbor would require only the most basic information and we would be able to allocate specific classes to those specific peripatetic teachers on the specific days that they teach.",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Attendance & Registers,Bulk edit and workflow,Taking Period-by-Period Registers|Class and subject communication (students & guardians)
PFT-9601,209720,Attendance,When running a trip - make marking V in attendance easy,Assistant Headteacher,Sheet1 - Row 73,"It is currently duplicate workload because we are making a trip - which is great and shows teachers where the pupil is and creates a register etc for the trip

 However to mark the pupils V in attendance to say school trip we have to re-write the names - I appreciate it shouldn't copy automatically but it would be good to if we use this group to bulk add an attendance mark for them.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Uncategorised,Taking Period-by-Period Registers
PFT-9599,209718,Attendance,Register override issues,Admin,Sheet1 - Row 75,When planned absences/illness marks are put in prior to the register being taken they are being overridden by teachers taking the register. Is there anyway this can be resolved? I have set the mark to stay before the registers been opened but this doesn’t resolve the issue if a teacher has already opened their register. I hope this makes sense!,01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9587,209682,Examinations,Exam seating plans and cards,Data and Exams Team Leader,Sheet1 - Row 87,"Hi

 Can the seating plan font be made bigger or have the option of making it bigger.

 Can the exam candidate cards also be made bigger or have the option to be made bigger.

 Both of these are too small to read.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Managing Classroom Seating Plans|Designing and Managing Seating Plans
PFT-9570,209548,Attendance,Custom Attendance Codes,Assistant Headmaster,Sheet1 - Row 104,"Having the ability to use custom attendance codes which then map to a DofE attendance code for census returns etc would be very helpful.

 For example, in our previous MiS we could record lates for transport disruption differently which gave us really useful data. We were able to use this to drive improvement.

 Having this flexibility would make Arbor much more appealing to schools in our particular circumstances with unique demands like ours and is a feature of other leading MIS.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Codes and marks,Logging Behaviour and Rewards|Taking Period-by-Period Registers
PFT-9568,209537,Attendance,Adding attendance notes,"Cover Supervisor, Student Services",Sheet1 - Row 106,"It takes too long to add attendance notes in Arbor - there are way too many different steps. We have to:

 1. go to Bulk Edit Marks >

 2. input the appropriate filters for date and group >

 3. find the student in the list >

 4. add a present mark from the drop down >

 5. add the attendance note >

 6. remove the attendance mark (i.e. change it back to a dash) by carefully navigating up the narrow little arrow.

 This is also the case when we have to remove or edit a note. We have a large number of students who leave lessons for instrumental tuition and various meetings with outside agencies, so it's quite a laborious task to make sure the registers are up to date so their teachers are aware.

 I'd like to suggest a solution - could it be something that's done through the students' calendar? It means we would only need to

 1.search for the student in the home page

 2. open their calendar for the week

 3. right click on the lesson where the attendance note needs adding, and have an option to add the note there.

 PLEASE TAKE ON BOARD THESE SUGGESTIONS AS ARBOR'S CURRENT PROCESS IS NOT EFFICIENT AT ALL.

 Many thanks",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Bulk edit and workflow,Taking Period-by-Period Registers
PFT-9567,209526,Attendance,Emergency Evacuation Register,Finance Officer,Sheet1 - Row 107,"Could this evacuation report be made to show just the absent pupils, because this shows all registers and we print this out twice a day.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Evacuation and emergency registers,Logging Behaviour and Rewards|Conducting Emergency Evacuation Registers|Taking Period-by-Period Registers
PFT-9565,209523,Behaviour,Behaviour Setup,IS Manager,Sheet1 - Row 109,"PLEASE can we have the ability to 'duplicate' the behaviour setup into a new academic year, trying to set this up each time is an impossible task, once the year has ended there is no easy way back to look at last years setup. It would also save huge amounts of time setting it up from scratch each time.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Uncategorised,Logging Behaviour and Rewards|Logging Behaviour and Setting Detentions
PFT-9563,209520,Groups & Enrolments,Club Registration,Admin,Sheet1 - Row 111,"When an after school club is full, it still allows parents to try and go on and book, by asking dates, classes etc.

 It would be most helpful that when a club has reached its maximum pupil numbers, it stops parents going any further and say something like 'the club is now full'.

 Please see below some comments from parents:

 Hi, I have been trying to register ___ for reception story club however it will not register, it keeps saying validation error.

 This is disappointing as i was online at 6pm so must of been filled within seconds.

 Please could you let me know if the after school ks1&KS2 outdoor games club is full or there's something up with the link as when I try to book ______ on it won't let me select a year group and been doing this since last night.

 Hello I’m trying to book ____ onto the after school clubs however it keeps asking me to apply academic year but has no option to select anything

 Good evening Please can you help Just trying to apply for a place for out door games for _____ but will not confirm without year group option. I am unable to find a drop box to select. Can you advise Many Thanks

 Hi I’ve tried to book my son _____ on outdoor sports club. It’s not letting me select on membership period. So can’t book him on. A few of the parents have said they’ve had issues too. Can you please help with the booking.

 Hi Trying to book _____ onto the Wednesday football sessions after school, but the system is not letting me. I’m wondering if it’s something to do with the dates - as when you click through it says Jan to 12 Feb. Please can you advise if there’s an issue / book Heidi on? Thanks

 Hi, I’ve been trying to book the KS1 outdoor sports club for ____. It allows me to select a class but when I go to confirm it is not letting me do it. Please can you advise how I can get him onto this as ____ is keen to attend. Thanks.

 How are the free clubs getting booked within a few seconds of it being made live on arbor? I have tried to register my son for these sessions each term and never successful despite being on arbor at 6pm refreshing. Very disappointing that all children are not given opportunity to join the clubs at least 1 term

 I’ve tried to register ___ for the outdoor games and it asked for consent so I click yes and it states I’ve missed his year group off. However there is no options it is blank. Can you please advise on the next steps as I don’t want to miss a place knowing they are limited. I do give consent for ____to do this club.

 Hello, i logged straight on at 6pm to register for the after school club but it won’t let me select anything in membership period, can this be looked at please as he would love to do this. Kind regards,

 I’ve tried to enrol ____ on the football, but it’s requesting an academic year and no options are available. This is stopping me enrolling her.

 This is disappointing as i was online at 6pm so must of been filled within seconds. This was the only sport ____really wanted to be in. Will there be another opportunity or will it be a matter of waiting until next year.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Clubs and wrap-around,Parent and guardian messages and notes|Managing End-of-Day Dismissals and Clubs|Taking Period-by-Period Registers|Class and subject communication (students & guardians)
PFT-9556,209505,Attendance,"Adding ability to report on attendance codes ""by Day of the Week"" like Present etc.",Trust Data Manager,Sheet1 - Row 118,"I have been asked to look at how many lates there are by day of the week, unfortunately this isn't possible currently as you can only report on Present, Authorised Absent, Unauthorised Absent and Absent. It would be useful to be able to choose a code (like Lates) and then by day of the week to look at patterns and see if certain codes appear more on a particular day than others.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9553,209494,SEN/SEND,Add UDFs to Classroom,IT Manager,Sheet1 - Row 121,"It would really help our classroom management if we coud add UDFs to the class layout allowing us to identify pupils who have additional needs, such as coloured paper.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Accessing Vital Pupil Context|Designing and Managing Seating Plans|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9535,209378,Communications,Message recipient groups - ability to edit group for one message only,Public Relations/Admin Supervisor,Sheet1 - Row 139,"Please could you look into the possibility of allowing users to edit a group in the communications/messaging feature?

 Currently the options are to manually add a lits of students one-by-one, or select a whole predetermined group (e.g. class or year) without the ability to select (or remove) specific students from that group.

 It'd be really helpful if we could, for example, select a whole year group or class group but then be able to unselect a couple of students (in case of long-term absence or similar).

 The solution I have been given so far is to create a custom group with the students I would want to communicate with, send the message, then delete the group but this seems an overly-complicated solution for users. Our previous MIS messaging system had this feature where you could pick the whole group and then untick certain contacts/students from that group.

 Thank you so much for your consideration. If there's an easy way of doing this that I'm missing I am sorry!",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Uncategorised,Accessing Vital Pupil Context|Parent and guardian messages and notes|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9533,209376,Timetable,How Cover Shows on Teacher Timetables,Information System Manager,Sheet1 - Row 141,It would be good if when a Teacher is put on a Cover lesson that shows on their Timetable/Calendar in a different colour other than green (a normal timetabled lesson). It would help our busy teachers identify these changes to their day.,01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Classroom Management,Room changes and timetable,Managing Cover Lessons
PFT-9532,209374,Core Student Record,UDF,Data Manager,Sheet1 - Row 142,"I have created a UDF for our students reading ages and this now displays on the student profile and on the student marksheets.

 However, I need this to appear on the lesson dashboard so that teachers can identify potential weakness in a glance.

 I can't see a UDF can be added via the Contextual information drop down menu.

 Please can this be implemented",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Lesson dashboard and cover,Accessing Vital Pupil Context|Inputting Formative and Summative Assessments|Setting and Reviewing Homework (Assignments)|Inputting Subject Assessment Data|Accessing Vital Pupil Context and SEND Passports
PFT-9530,209372,Attendance,change the colours,Faye Simons,Sheet1 - Row 144,"Hello,

 Please look in to changing the colours used on the registers. I can not understand why names that get highlighted in Red are actually in school (lateness) but those who we have said are not in due to a planned absence show up orange. It would make a lot more sense for red to mean completely absent and amber to mean they are in school but late.

 I also don't like that the report showing absentees shows those who are marked as a U as if they have this mark then it means they are in school, not absent.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9529,209368,Attendance,Attendance fines - filter by attendance absence codes,EIS Senior,Sheet1 - Row 145,Please can there be a filter on the attendance fines page so schools can only fine the G codes,01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Uncategorised,Taking Period-by-Period Registers
PFT-9526,209358,Behaviour,Upcoming detentions to go back to showing 100 days and not 20,MIS Manger,Sheet1 - Row 148,"Good Morning,

 We would really like the upcoming detention sessions to go back to showing 100 days how they were. We are aware that it has recently been changed to only show 20.

 Showing 100 days was much more useful to us

 Our Principal has requested this to go back if possible please.

 Many thanks",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Detentions,Logging Behaviour and Rewards|Logging Behaviour and Setting Detentions
PFT-9522,209342,Timetable,"Part Time Timetable 'tick' box and means to timetable specifics (dates: from/to, times: from/to)",Family Liaison Officer / Attendance Manager,Sheet1 - Row 152,"Part Time Timetable 'tick' box and means to timetable specifics (dates: from/to, times: from/to)

 Then if a report was able to be generated to identify these children (particularly in light of census).

 C2 code and planned absence method currently (as advised) BUT (at Primary Level) if child's Part Time Timetable doesn't fit in with AM and PM slots (as only 2 registration periods at Primary Level) and the child is here for both registrations, the C2 code is not applied and therefore code search cannot be used to identify children.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9515,209228,Groups & Enrolments,Clubs Module,Data Manager,Sheet1 - Row 159,"Clubs is a terrible module, needs an overhaul.

 We only use clubs for free after school clubs, mainly for sport.

 Once set up, there seems to be no way to end it without completely deleting all students in the club. This is not ideal when we may want history of who attended.

 Adding a student into the club after it has started generates missing register notifications for the previous weeks when the student was not a member.

 Some thought from Arbor needs to go into revamping clubs and how to easily end students membership, or the entire club, It should be similar to how interventions work.

 Going forward we will probably not use the club module but use interventions instead as it has the flexibility we need.",01. January 2026 - User feedback - Part 1.txt,January,2026,Primary,Attendance & Registers,Clubs and wrap-around,Managing End-of-Day Dismissals and Clubs|Taking Period-by-Period Registers
PFT-9510,209168,Attendance,Record Planned Absence- Siblings,Office Manager,Sheet1 - Row 164,"Hello,

 It would like really good, if when recording a planned absence, you can also include/ tag another child (sibling). So you don't have to repeat yourself recording the absence on both children.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9509,209167,Attendance,Adding UDF Information To Registers,Systems Information Manager,Sheet1 - Row 165,"Good afternoon,

 We would like to add Reading Ages to the registers in Arbor, but at the moment it isn't possible as UDFs are not included in what can be shown. Can you please consider adding this.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Uncategorised,Accessing Vital Pupil Context|Taking Period-by-Period Registers
PFT-9508,209166,Timetable,Show room clashes when doing room changes if booked rooms are selected,Marketing and Admin Assistant,Sheet1 - Row 166,"Hi,

 It would be good to allow room swaps within the room changes area so you can select 'unavailable' rooms if a teacher wants/needs to swap with another teacher, and it alert you that the lesson already in that room now needed a room change and gets added to the 'changes required' list.

 May be a way of doing this that I'm not seeing but it would be a useful thing to be able to do.

 Regards.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Room changes and timetable,Designing and Managing Seating Plans
PFT-9507,209164,Safeguarding,Seating Plans currently display sensitive information by default,Teacher of Psychology,Sheet1 - Row 167,"Seating plans currently display sensitive information by default. This is a safeguarding issue. When opening a seating plan to display to the class, it defaults to 'Student View' which is actually the teacher's view because it displays e.g., SEND information. This initial view would be better void of sensitive information. Then if a teacher wanted to see the personal attributes of a student or class, they could select teacher view at an appropriate time, e.g., when not displaying to the class.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Accessing Vital Pupil Context|Managing Classroom Seating Plans|Designing and Managing Seating Plans|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9506,209163,Groups & Enrolments,Clubs/Trips,Assistant Headteacher,Sheet1 - Row 168,"1) Please can you look into how you can easily cancel a club session when students are assigned to the session? Our free clubs may be cancelled because of poor weather, a clash of events, staff illness etc, and it would be good to be able to cancel the session and it send an email out to parents/guardians so that they are aware. I realise paid clubs are more difficult because of payments, but free clubs should be easier to do. I have a club with nearly 90 members, so I can't go into each one to take them off the session and then delete the session.

 2) Is there a way we can automate adding points for those that attend a club session? It is a pain to do this manually, and also not be able to only select those that have attended. If the club session summary had the attendance mark on the table (like class summaries), then that would make this easier to do manually if there is no way to automate it.

 3) Please can you add in functionality to add a member to free clubs from the register rather than having to go to the club set up? In a previous system, you could add them to the session, but also choose to add them to any following sessions with the click of a button.

 4) Attachments - It would be useful to have a message in the attachments box to say if the attachments will be only viewable to staff or if they are viewable by students/parents. I am worried that staff will start to put confidential items there without a message or warning.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Clubs and wrap-around,Accessing Vital Pupil Context|Parent and guardian messages and notes|Managing End-of-Day Dismissals and Clubs|Taking Period-by-Period Registers|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9505,209162,Attendance,Trip - automically change lesson mark to V if on trip,Assistant Headteacher,Sheet1 - Row 169,"Hi,

 It would be great if Arbor could automatically insert a V mark across the time a student is on a trip. It takes time to put in a planned absence as a trip for a group.

 Is this something that can be done?",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9502,209158,Behaviour,Immutable or Trackable Incidents,IT Technician,Sheet1 - Row 172,"Accessible changelogs for data including incidents and detentions.

 Where an incident or detention is logged by a member of staff, another member of staff with the required permission set could change details that could skew the story - especially if they weren't there themselves.

 This would help improve our documentation particularly when relating to safeguarding incidents - for example if there was an incident involving a weapon being used, it would initially be documented by a staff witness. If it later transpired that another member of staff (who wasn't present) altered the record, then we would want to know what, when and why they changed it especially if the new record downplays what actually occurred.",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Behaviour incidents and logging,Accessing Vital Pupil Context|Logging Behaviour and Rewards|Taking Period-by-Period Registers|Logging Behaviour and Setting Detentions|Accessing Vital Pupil Context and SEND Passports
PFT-9492,209144,Student Portal/App,Student Portal Settings,Unknown,Sheet1 - Row 182,"Please could you the student portal set up for online use (web based not phone app) have the same level of detail available in the settings as the parent portal app. For example being able to turn on particular levels of detail of behaviour data. This is particularly important as students cannot use mobile phones in school

 Please could the exams settings for the student portal be available in the student portal settings area",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Uncategorised,Logging Behaviour and Rewards|Parent and guardian messages and notes|Logging Behaviour and Setting Detentions|Class and subject communication (students & guardians)
PFT-9487,209121,Safeguarding,Club registers - when printed have the option of the absence note that can be added in,Senior Business Assistant,Sheet1 - Row 187,"When we are completing safeguarding emails for pupils attending clubs, there is no option to print the register with our absence notes, it just shows whether they are there or not. some will be absences known in advance and without the notes printing with the register, we are unable to filter these out from the ones that we need to contact home.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Accessing Vital Pupil Context|Parent and guardian messages and notes|Managing End-of-Day Dismissals and Clubs|Taking Period-by-Period Registers|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9486,209120,Attendance,Registers and meal choices on the same screen,Ops manager,Sheet1 - Row 188,"In an already busy classroom it would make the teachers life a lot easier if the meal choice option was on the same page as the attendance register. At the moment it feels like they are doing the same job twice almost.

 Having a full class in the infants is OK with a bulk change but this is not as easy when its a mixed bag of dinners and packed lunched in upper school.

 To be able to mark the attendance and choose a hot meal / packed lunch on the same screen will cut time spent on this every morning.",01. January 2026 - User feedback - Part 1.txt,January,2026,Primary,Attendance & Registers,Uncategorised,Completing Morning Registration and Meal Selections|Taking Period-by-Period Registers|Designing and Managing Seating Plans|Class and subject communication (students & guardians)
PFT-9485,209119,Timetable,Classroom Seating Plans,Network Manager,Sheet1 - Row 189,Enable a print function for classroom seating plans so that they can be printed out clearly and nicely scaled to be able to view details.,01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Managing Classroom Seating Plans|Designing and Managing Seating Plans|Class and subject communication (students & guardians)
PFT-9484,209117,Data & Reporting,Allow custom report writer to bulk change assessment period to a new year,Data Manager,Sheet1 - Row 190,"I would like to be able to use the bulk update assessment period option in custom report writer to be able to change the year as well as the assessment period. Currently this is not provided as an option and the different versions of the tool (for summative and ad hocs) show different behaviour when you try to update the assessment period on a report from the previous year. The ad hocs tool works likely as expected, changing the assessment period but not the year, whilst the tool for summative assessments exhibits a somewhat buggy behaviour, changing the year to the current year regardless, and then losing the assessment period when you go into the field to check, so you have to manually change them one by one anyway. I would imagine that many schools use the same basic assessment reports each year, so being able to just quickly update the assessment periods across the year would be a highly desirable feature.",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Behaviour incidents and logging,Logging Behaviour and Rewards|Inputting Formative and Summative Assessments|Taking Period-by-Period Registers|Logging Behaviour and Setting Detentions|Inputting Subject Assessment Data
PFT-9483,209115,Student Portal/App,Student web portal and app should have more infomration and more accesible information about achievement points and behaviour points,Unknown,Sheet1 - Row 191,"Students can't see a list of achievement points and reasons - so they can't see all the nice comments from teachers

 They also can't see a list of behaviour incidents so don't know easily know why they have a detention",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Behaviour incidents and logging,Logging Behaviour and Rewards|Logging Behaviour and Setting Detentions
